timestamp,application,log_level,message,user_id,session_id,source_ip,destination_ip,response_code,latency_ms,cpu_usage,memory_usage,disk_io,network_bandwidth,module,error_code
2025-03-14 11:26:00+00:00,BankingApp,INFO,Login failed: database unreachable,9273,SID-550137,129.153.198.180,130.139.32.159,401,1334,43.67,62.05,72.82,64.27,Reconciliation,AUTH_FAIL
2025-03-14 11:26:00+00:00,InventoryService,INFO,Login failed: database unreachable,9029,SID-701253,183.214.39.114,154.212.148.184,400,2535,21.83,63.51,78.24,52.96,Reconciliation,AUTH_FAIL
2025-03-14 11:27:00+00:00,PaymentGateway,WARN,Login failed: database unreachable,9184,SID-524068,113.163.209.250,148.63.103.79,400,1919,52.35,70.71,61.16,88.44,Login,NULL_POINTER
2025-03-14 11:28:00+00:00,BankingApp,INFO,Login failed: database unreachable,9279,SID-843963,133.144.103.224,205.162.82.165,200,1115,34.31,45.16,38.94,82.61,Login,API_TIMEOUT
2025-03-14 11:29:00+00:00,InventoryService,WARN,Login failed: database unreachable,9719,SID-771237,130.8.186.60,148.27.150.166,200,2305,63.11,60.11,83.59,61.61,Transaction,NULL_POINTER
2025-03-14 11:29:00+00:00,PaymentGateway,ERROR,Login failed: database unreachable,9780,SID-537983,77.254.42.34,118.85.35.138,200,1405,22.39,74.73,38.39,86.93,Transaction,NULL_POINTER
2025-03-14 11:29:00+00:00,BankingApp,WARN,Login failed: database unreachable,9316,SID-403578,112.108.176.251,83.51.38.240,500,3927,52.79,73.26,85.88,92.52,Deployment,NULL_POINTER
2025-03-14 11:32:00+00:00,InventoryService,WARN,Login failed: database unreachable,9943,SID-220768,3.173.150.154,18.82.69.240,400,3662,33.66,60.72,49.11,51.86,Deployment,AUTH_FAIL
2025-03-14 11:33:00+00:00,PaymentGateway,INFO,Login failed: database unreachable,9347,SID-524707,116.115.120.25,70.102.23.197,401,2373,59.97,52.16,53.58,96.07,Reconciliation,NULL_POINTER
2025-03-14 11:35:00+00:00,BankingApp,WARN,Login failed: database unreachable,9359,SID-121869,160.26.158.113,77.164.81.250,401,1598,41.85,46.48,66.99,70.89,Login,NULL_POINTER
2025-03-14 11:36:00+00:00,InventoryService,WARN,Login failed: database unreachable,9006,SID-440544,181.27.237.216,10.30.138.198,200,1563,40.0,77.39,80.56,91.88,Reconciliation,ROLLBACK_ERR
2025-03-14 11:38:00+00:00,PaymentGateway,WARN,Login failed: database unreachable,9185,SID-280222,149.198.170.29,204.140.226.117,200,1156,41.99,49.02,65.62,96.7,Login,NULL_POINTER
