deployment_id,application,version,deployed_by,deployment_timestamp,deployment_status,rollback_version,affected_modules,reason_for_deployment,cpu_usage_post_deploy,memory_usage_post_deploy,api_failures,error_logs_generated,network_latency_ms
DEPLOY-10000,DatabaseService,5.2.0,DevOps Engineer,2025-03-11 11:55:00+00:00,FAILED,5.1.0,Inventory Sync,Security Patch,74.2,80.0,16,5,810
DEPLOY-10001,DatabaseService,5.2.1,CI/CD Bot,2025-03-12 02:21:00+00:00,FAILED,5.1.1,Order Processor,Feature Update,82.1,75.5,2,37,440
DEPLOY-10002,DatabaseService,5.2.2,CI/CD Bot,2025-03-12 16:47:00+00:00,FAILED,5.1.2,Payment Handler,Security Patch,78.8,94.9,10,35,518
DEPLOY-10003,DatabaseService,5.2.3,CI/CD Bot,2025-03-13 07:13:00+00:00,FAILED,5.1.3,User Auth,Security Patch,51.5,82.7,11,34,996
DEPLOY-10004,DatabaseService,5.2.4,Automation Script,2025-03-13 21:39:00+00:00,FAILED,5.1.4,Order Processor,Security Patch,41.6,72.3,23,15,754
DEPLOY-10005,DatabaseService,5.2.5,Automation Script,2025-03-14 12:05:00+00:00,FAILED,5.1.5,Payment Handler,Feature Update,55.8,71.2,21,7,606
DEPLOY-10006,InventoryApp,5.2.6,Automation Script,2025-03-11 12:25:00+00:00,SUCCESS,5.1.6,Payment Handler,Hotfix,53.4,72.7,6,35,662
DEPLOY-10007,InventoryApp,5.2.7,CI/CD Bot,2025-03-11 22:43:34.285714285+00:00,SUCCESS,5.1.7,User Auth,Feature Update,50.5,85.7,12,38,384
DEPLOY-10008,InventoryApp,5.2.8,DevOps Engineer,2025-03-12 09:02:08.571428571+00:00,SUCCESS,5.1.8,Inventory Sync,Feature Update,87.1,89.8,4,7,457
DEPLOY-10009,InventoryApp,5.2.9,CI/CD Bot,2025-03-12 19:20:42.857142857+00:00,SUCCESS,5.1.9,User Auth,Security Patch,83.8,80.6,22,22,536
DEPLOY-10010,InventoryApp,5.2.0,CI/CD Bot,2025-03-13 05:39:17.142857142+00:00,SUCCESS,5.1.0,Inventory Sync,Feature Update,55.7,71.6,21,7,711
DEPLOY-10011,InventoryApp,5.2.1,DevOps Engineer,2025-03-13 15:57:51.428571428+00:00,SUCCESS,5.1.1,Inventory Sync,Rollback,72.8,79.5,7,31,461
DEPLOY-10012,InventoryApp,5.2.2,CI/CD Bot,2025-03-14 02:16:25.714285714+00:00,SUCCESS,5.1.2,User Auth,Hotfix,59.8,94.9,15,31,454
DEPLOY-10013,InventoryApp,5.2.3,CI/CD Bot,2025-03-14 12:35:00+00:00,SUCCESS,5.1.3,Order Processor,Hotfix,85.7,83.2,15,9,349
DEPLOY-10014,PaymentGateway,5.2.4,DevOps Engineer,2025-03-11 12:45:00+00:00,ROLLBACK,5.1.4,Inventory Sync,Security Patch,62.9,94.3,3,21,741
DEPLOY-10015,PaymentGateway,5.2.5,DevOps Engineer,2025-03-12 00:46:40+00:00,ROLLBACK,5.1.5,User Auth,Hotfix,53.2,91.5,19,24,460
DEPLOY-10016,PaymentGateway,5.2.6,CI/CD Bot,2025-03-12 12:48:20+00:00,ROLLBACK,5.1.6,Inventory Sync,Security Patch,52.3,70.3,13,14,933
DEPLOY-10017,PaymentGateway,5.2.7,DevOps Engineer,2025-03-13 00:50:00+00:00,ROLLBACK,5.1.7,User Auth,Feature Update,68.1,88.0,19,35,901
DEPLOY-10018,PaymentGateway,5.2.8,Automation Script,2025-03-13 12:51:40+00:00,ROLLBACK,5.1.8,Inventory Sync,Rollback,53.1,87.0,13,19,349
DEPLOY-10019,PaymentGateway,5.2.9,CI/CD Bot,2025-03-14 00:53:20+00:00,ROLLBACK,5.1.9,Inventory Sync,Hotfix,69.2,83.4,0,12,466
DEPLOY-10020,PaymentGateway,5.2.0,Automation Script,2025-03-14 12:55:00+00:00,ROLLBACK,5.1.0,Payment Handler,Hotfix,84.9,76.7,8,23,768
